protein,ligand,full_name,surf_score,uni_score,gnina_score,smina_score,qvina_score,diff_score,diffL_score,karma_score,selected_algorithm,confidence,surf_rank,uni_rank,gnina_rank,smina_rank,qvina_rank,diff_rank,diffL_rank,karma_rank
1a80,NDP_A_300,1a80_NDP_A_300,0.79209846,0.53869474,0.09803236,0.06609171,0.06550363,0.17634954,0.17734516,0.08166567,surf,0.79209846,1,2,5,7,8,4,3,6
1ajs,PLA_A_415,1ajs_PLA_A_415,0.79598,0.8440659,0.077063024,0.175869,0.17352082,0.04825457,0.043515295,0.04168851,uni,0.8440659,2,1,5,3,4,6,7,8
1aex,THP_A_151,1aex_THP_A_151,0.16840644,0.10145631,0.37247184,0.28420615,0.286566,0.021019127,0.035850406,0.01673465,gnina,0.37247184,4,5,1,3,2,7,6,8
1afq,0FG_B_304,1afq_0FG_B_304,0.6383268,0.7905033,0.5898873,0.50214887,0.49815112,0.43714163,0.41628513,0.2865939,uni,0.7905033,2,1,3,4,5,6,7,8
1axd,GGL_C_1,1axd_GGL_C_1,0.76362413,0.50524455,0.20048441,0.08497131,0.08442662,0.16296215,0.13963792,0.16081886,surf,0.76362413,1,2,3,7,8,4,6,5
1afe,ASP_I_55,1afe_ASP_I_55,0.82741475,0.81152904,0.82914084,0.8827242,0.8813326,0.1403039,0.16282654,0.07890908,smina,0.8827242,4,5,3,1,2,7,6,8
1aog,FAD_A_492,1aog_FAD_A_492,0.77002734,0.69272125,0.52082884,0.079737,0.079604074,0.01791008,0.013045626,0.049532086,surf,0.77002734,1,2,3,4,5,7,8,6
1aog,MAE_A_500,1aog_MAE_A_500,0.6257778,0.81676763,0.52754563,0.096238166,0.09512131,0.052747283,0.04189572,0.056042943,uni,0.81676763,2,1,3,4,5,7,8,6
1amr,PMP_A_413,1amr_PMP_A_413,0.08229373,0.23225819,0.4404213,0.75873876,0.75736064,0.007705787,0.013796929,0.0059047425,smina,0.75873876,5,4,3,1,2,7,6,8
1amq,PMP_A_413,1amq_PMP_A_413,0.17141421,0.23343813,0.6866394,0.34337518,0.3449961,0.027724357,0.049129218,0.018168433,gnina,0.6866394,5,4,1,3,2,7,6,8
1a49,ATP_C_1735,1a49_ATP_C_1735,0.8372848,0.8914771,0.098517865,0.032364808,0.032115813,0.0069755903,0.004620077,0.022008419,uni,0.8914771,2,1,3,4,5,7,8,6
1aiq,CB3_B_267,1aiq_CB3_B_267,0.78347546,0.5141064,0.21986246,0.53019273,0.52799296,0.029501505,0.02182241,0.11275206,surf,0.78347546,1,4,5,2,3,7,8,6
1aer,TIA_B_700,1aer_TIA_B_700,0.062093195,0.116593145,0.16282192,0.049678724,0.05030691,0.004823025,0.00785793,0.007892985,gnina,0.16282192,3,2,1,5,4,8,7,6
1ac4,TMT_A_296,1ac4_TMT_A_296,0.26552442,0.88913584,0.3521932,0.06461334,0.06362684,0.01648772,0.016503453,0.014139586,uni,0.88913584,3,1,2,4,5,7,6,8
1anc,BEN_A_290,1anc_BEN_A_290,0.17725989,0.7740431,0.6298221,0.6707088,0.66731656,0.256173,0.46476445,0.059374206,uni,0.7740431,7,1,4,2,3,6,5,8
1b3d,S27_B_401,1b3d_S27_B_401,0.7923438,0.8116319,0.7601829,0.22892553,0.22741799,0.30389667,0.31937876,0.0711994,uni,0.8116319,2,1,3,6,7,5,4,8
1awb,IPD_A_281,1awb_IPD_A_281,0.8324467,0.41987377,0.6925401,0.054782875,0.05514351,0.10219172,0.09728938,0.067535505,surf,0.8324467,1,3,2,8,7,4,5,6
1aqx,GTD_C_2301,1aqx_GTD_C_2301,0.15005726,0.91641736,0.06926182,0.04207137,0.041400857,0.005801053,0.0064836973,0.008345543,uni,0.91641736,2,1,3,4,5,8,7,6
1aqx,GTD_B_2201,1aqx_GTD_B_2201,0.14500147,0.9311509,0.06603866,0.04509841,0.044405866,0.00493717,0.005825472,0.006234747,uni,0.9311509,2,1,3,4,5,8,7,6
1aj2,2PH_A_283,1aj2_2PH_A_283,0.7790118,0.5340088,0.5834531,0.08274395,0.08261167,0.05734713,0.046557825,0.09670155,surf,0.7790118,1,3,2,5,6,7,8,4
1aiq,UMP_B_266,1aiq_UMP_B_266,0.7067954,0.4420473,0.30595627,0.5895263,0.5875192,0.03621836,0.028072264,0.091358885,surf,0.7067954,1,4,5,2,3,7,8,6
1a96,PCP_B_301,1a96_PCP_B_301,0.7924164,0.29679728,0.15594807,0.10195866,0.10178681,0.15901984,0.14769284,0.1319679,surf,0.7924164,1,2,4,7,8,3,5,6
1aog,FAD_B_492,1aog_FAD_B_492,0.6620713,0.75240594,0.6695739,0.014343636,0.014484398,0.01874493,0.01485207,0.02959581,uni,0.75240594,3,1,2,8,7,5,6,4
1b0p,TPP_B_1236,1b0p_TPP_B_1236,0.019103179,0.1836664,0.5390139,0.80932,0.80780476,0.0088494755,0.04218233,0.0024650756,smina,0.80932,6,4,3,1,2,7,5,8
1a5w,Y3_A_1,1a5w_Y3_A_1,0.76156783,0.6973345,0.527546,0.38083345,0.37743044,0.4647754,0.45275068,0.22615346,surf,0.76156783,1,2,3,6,7,4,5,8
1akd,CAM_A_420,1akd_CAM_A_420,0.6170282,0.79184663,0.17463422,0.24842542,0.24433067,0.27415052,0.2761255,0.20658857,uni,0.79184663,2,1,8,5,6,4,3,7
1aej,NVI_A_296,1aej_NVI_A_296,0.6068947,0.88908803,0.47294065,0.33437914,0.3309112,0.049570035,0.03804119,0.080198094,uni,0.88908803,2,1,3,4,5,7,8,6
1a0g,PMP_A_285,1a0g_PMP_A_285,0.33463427,0.79478127,0.51723087,0.06864824,0.06755726,0.096968815,0.10782066,0.034935996,uni,0.79478127,3,1,2,6,7,5,4,8
1a59,COA_A_380,1a59_COA_A_380,0.42003545,0.8821926,0.06412289,0.053370953,0.05245743,0.010797791,0.007784539,0.026912123,uni,0.8821926,2,1,3,4,5,7,8,6
1a3u,THP_A_151,1a3u_THP_A_151,0.44785696,0.11914178,0.4111094,0.23041038,0.23246162,0.035608128,0.035082486,0.04861273,surf,0.44785696,1,5,2,4,3,7,8,6
